,accuracy,loss,val_accuracy,val_loss
0,0.7571718692779541,1.2808367013931274,0.7207691073417664,1.2963377237319946
1,0.8071693181991577,0.8352845907211304,0.24282436072826385,1.5880467891693115
2,0.8204894661903381,0.7721999287605286,0.23808889091014862,2.059713125228882
3,0.8328039646148682,0.7160283327102661,0.23882563412189484,1.9514963626861572
4,0.8381245136260986,0.6940275430679321,0.24596181511878967,1.5814518928527832
5,0.8428020477294922,0.671949028968811,0.23792120814323425,2.178563356399536
6,0.8501933813095093,0.6385825276374817,0.3767188489437103,1.4811880588531494
7,0.8541012406349182,0.6233277916908264,0.4717505872249603,1.5267460346221924
8,0.8584591746330261,0.6085339188575745,0.5737187266349792,1.2532137632369995
9,0.8569510579109192,0.6147947907447815,0.7677007913589478,0.8845416903495789
10,0.8606962561607361,0.5951854586601257,0.7150453329086304,1.0092052221298218
11,0.8673208951950073,0.5696871280670166,0.8269055485725403,0.7987964749336243
12,0.8697598576545715,0.5556095838546753,0.8491710424423218,0.6622427701950073
13,0.8704770803451538,0.5516740083694458,0.8466827869415283,0.6723954677581787
14,0.8796160817146301,0.5106914043426514,0.8486445546150208,0.6451935768127441
15,0.8792112469673157,0.5160135626792908,0.8549644351005554,0.6611334085464478
16,0.8831287026405334,0.49621590971946716,0.8531697392463684,0.628666877746582
17,0.8804017305374146,0.5088064670562744,0.8317415118217468,0.7512622475624084
18,0.8823541402816772,0.49930548667907715,0.7471387386322021,2.253509759902954
19,0.8884735107421875,0.47256869077682495,0.8355867266654968,0.7055177688598633
20,0.8929429650306702,0.45073822140693665,0.8514151573181152,0.706108570098877
21,0.8967383503913879,0.4306628406047821,0.8575834035873413,0.654103696346283
22,0.8981985449790955,0.4236738383769989,0.8560963869094849,0.6389500498771667
23,0.9002688527107239,0.41275542974472046,0.8462913036346436,0.795339047908783
24,0.9009827971458435,0.41242942214012146,0.8557733297348022,0.6690612435340881
25,0.8943471908569336,0.4437367618083954,0.7988491058349609,1.0209590196609497
26,0.8970736265182495,0.43018099665641785,0.8516414165496826,0.6578688025474548
27,0.9054305553436279,0.38516372442245483,0.8545840382575989,0.7017900347709656
28,0.9079707860946655,0.3728729486465454,0.8545082211494446,0.6770332455635071
29,0.9075146913528442,0.3765714764595032,0.8528090715408325,0.6759395599365234
